sedantipperm.gleeze[.]com	 malicious 
houngrotare.gleeze[.]com	 malicious 
bioderama.webredirect[.]org	 malicious 
didaforag.gleeze[.]com	 malicious 
grosjeangerard.hopto[.]org	 malicious 
allonsy.hopto[.]org	 malicious 
trestine.webredirect[.]org	 malicious 
tech00.duckdns[.]org	 malicious 
delicisose.camdvr[.]org	 malicious 
sindravitb.theworkpc[.]com	 malicious 
rusdapwe.gleeze[.]com	 malicious 
info2.myq-see[.]com	 malicious 
talknahealga1974.myq-see[.]com	 malicious 
eske.sytes[.]net	 malicious 
